Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,99.37672203436608,97.49356101803424,33.02910194926521,30.93762599091908,36.04073442316914,34.53566273392628,25.55529025747108,24.51287355398458,29.840804649784538,28.510089885299823
ROSELAND,98.19341244666172,95.85164218159744,33.5341599544264,31.77380156207513,37.4484188621715,35.507292169551164,25.34551295713782,24.41389713664158,29.81728827672976,28.54143642280195
SOUTH DEERING,95.67223477697117,93.22371204053724,34.26332681227018,32.56606357589973,43.427749641424,40.99756980807713,24.92307623397268,24.13916723131449,29.68025142789365,28.36840490398648
ASHBURN,98.27473176792388,95.78139470504112,33.656903017934994,31.926134896317244,39.03522246398286,37.42222748335392,25.4189023592041,24.53612315369008,29.849225273514087,28.59823790366688
AUBURN GRESHAM,97.7879395609489,95.41399068642284,33.64425488023387,31.864442732134812,38.46272121203581,36.451827360980005,25.296758777149662,24.37539951604805,29.79244142275272,28.514798320144852
BRIDGEPORT,95.64406166158872,92.86446665484333,34.32979114466703,32.52444491386417,43.84002521777975,41.18088072415056,24.93629192483836,24.05049554232893,29.655998729837314,28.23114879069657
AVONDALE,96.04339423274943,93.45165227631853,34.24101778615349,32.088046603635824,43.74602520134983,41.04687651716463,24.93880951956025,23.99561578651485,29.625842972934603,28.053530578134
ARCHER HEIGHTS,97.34773885421492,94.51581806084604,34.0069708880759,32.3000177945162,41.80363216592376,39.73948617830523,25.22865013472844,24.297006229003355,29.816597863140704,28.53681308237998
MOUNT GREENWOOD,98.77428412507714,96.40498797205882,33.55370382786804,31.92713586747021,38.3040567344264,36.95011158511515,25.466364309210533,24.58984375,29.897906796425243,28.6116478733264
HYDE PARK,95.5298891351873,92.98322429310196,34.24548374245388,32.34078901811081,43.776880903764265,41.24374367453834,24.988068181818186,24.109161931818186,29.650711255160264,28.321534482782525
LOOP,99.951481628418,97.3606853485107,27.8700225830078,26.6648727416992,23.8243041992188,23.5067687988281,22.83203125,22.48046875,26.1512828826904,25.5380725860596
PULLMAN,96.18509297594112,93.68781845011613,34.08446621996297,32.40889077693861,42.02298757999501,39.741660641609336,25.03366335605053,24.21702543218085,29.72268120928011,28.40674653814196
KENWOOD,95.4600563049316,92.9464492797852,34.2424224853516,32.338525390625,43.8531127929688,41.3649230957031,25.0,24.12109375,29.6385494232178,28.340838432312
WOODLAWN,95.69172070014967,93.06844721668632,34.2525779419271,32.34603477969858,43.600220071247,40.96292081090066,24.96041722163026,24.08151097163026,29.678895252412715,28.27679924362824
LINCOLN SQUARE,96.7044252059638,94.03611127082988,34.23413474737962,31.854399374286512,43.17848216155248,40.39922232509085,24.836693380226865,23.85353495641959,29.5344206192315,27.81905768435194
NORTH PARK,96.29707214180544,93.6459064071561,34.02477639549836,31.89610193175198,43.45911829845828,40.79393381660373,25.03061058407738,23.97435425450562,29.58475959650005,28.12383367144875
WEST ENGLEWOOD,95.47190418367528,92.90457074157764,34.25591616240951,32.37916758903455,43.89525394949982,41.38098192580436,24.99264930178959,24.120352325108467,29.64986466623614,28.346584456258288
RIVERDALE,95.7764150711272,93.14219215449724,34.17540501368832,32.55502173596521,43.17352123365199,40.89044029671877,24.966862462665485,24.19653060169116,29.71472514851228,28.410521350832276
WEST LAWN,97.35160382041737,94.5206950659256,34.005811225301585,32.29883262480357,41.79475031672296,39.73232398060369,25.229338658641037,24.297853607073176,29.81664494535155,28.53718988043209
IRVING PARK,95.97566750237225,93.28601617002538,34.208589804810494,32.11306250813376,43.79905328260268,41.15509831047262,24.969415046235568,24.021690344635363,29.630744147525853,28.127928736827805
AUSTIN,97.94020240114196,95.29176581628391,33.730812886267,31.93767854926563,39.46386705552692,37.59339061915276,25.287025220466383,24.385884602864586,29.84608851249768,28.431511121717342
BURNSIDE,95.81634600761886,93.14226926238842,34.25341278587647,32.34642292214512,43.44505485662546,40.74043200615401,24.943664891759784,24.064464036312856,29.69893790942994,28.247693274940183
EAST SIDE,95.9247200012207,93.6380710601807,34.3021545410157,32.4124160766602,43.5764434814453,40.9263473510742,24.8828125,24.0625,29.6497779846191,28.3295612335205
WEST RIDGE,97.15437070039948,94.42484622872315,34.2475719758668,31.823798847469195,43.03772539988712,40.17970018486093,24.79933719400426,23.82354476481197,29.5007678375677,27.78104867637437
MONTCLARE,99.08163856213925,96.55353154704127,33.471438641166024,31.595897113653816,38.28080786728282,36.50178023813496,25.34572354094076,24.41671657229965,29.87248692927877,28.506830524484467
LOWER WEST SIDE,95.61680965314092,92.83376843510484,34.32894292948945,32.539229116282925,43.90959968552295,41.26003640164281,24.940486868541903,24.06054631440156,29.65617646948383,28.26078016622013
WEST ELSDON,97.3473220825195,94.5151329040527,34.0072692871094,32.3003555297852,41.8063720703125,39.7420135498047,25.228515625,24.296875,29.8164840698242,28.5369281768799
NORTH CENTER,96.20116240064874,93.80315336778057,34.27429226352932,32.01233003283436,43.5371571211077,40.74188616990257,24.8708911481202,23.938880694291992,29.60159651905984,27.896807039346704
WEST TOWN,98.20993646217822,95.69275698013956,31.125285528736278,29.441956901783733,33.49793648429136,32.018550421762626,23.95683330783353,23.30327704253365,27.987557191416823,26.83724655702327
SOUTH SHORE,95.80842655066292,93.14988236427308,34.25945335850578,32.35244725545253,43.48312593171101,40.7768407359268,24.93878728693182,24.0625,29.69610513802728,28.249775296991512
GRAND BOULEVARD,95.4600563049316,92.9464492797852,34.2424224853516,32.338525390625,43.8531127929688,41.3649230957031,25.0,24.12109375,29.6385494232178,28.340838432312
CHATHAM,97.87135465467294,95.48456171396612,33.631608210383305,31.851383394808405,38.26087547508447,36.21630620183168,25.29106841216216,24.366554054054053,29.80125353014145,28.50163851557548
WEST PULLMAN,96.04145443554688,93.37057442504882,34.08542176757817,32.4253268286133,42.62328114843757,40.35207911132814,25.008293125000005,24.21235,29.733659702026326,28.42983765838621
HEGEWISCH,95.70925671340332,93.21658601004968,34.21278416272231,32.56172892749636,43.11835836967607,40.71928271398222,24.94581000610749,24.178747518831432,29.69262167649987,28.36729618366589
NEAR WEST SIDE,99.06967141909236,96.46489425727636,29.85221877275888,28.46494143515497,29.271431440541704,28.383865192143297,23.63505888584248,23.094003146809573,27.378356003537807,26.48048954751651
UPTOWN,96.61061975614705,94.21095699878607,33.91696281990268,31.66585390263664,42.38261584437,39.73993854764144,24.76468362037488,23.84569741966894,29.410980994977628,27.756781860358977
ENGLEWOOD,95.47213638430176,92.93705942227513,34.24928943849109,32.35469008539127,43.85858085021072,41.35769558858444,24.995327278839024,24.116421028839024,29.639953369061416,28.33488945897325
PORTAGE PARK,99.13360822173368,96.78458685107614,33.04040297935753,30.969117796009968,36.37398659541695,34.68937839201134,25.685866783405167,24.59247036637932,29.92264306068417,28.539303772202828
EDGEWATER,96.8898223876953,94.1247959136963,34.2097381591797,31.7896591186524,43.0195465087891,40.2498947143555,24.8212890625,23.82080078125,29.5050338745117,27.7876167297363
WASHINGTON PARK,95.4600563049316,92.9464492797852,34.2424224853516,32.338525390625,43.8531127929688,41.3649230957031,25.0,24.12109375,29.6385494232178,28.340838432312
CHICAGO LAWN,95.46577706594358,92.77026543484746,34.25709865768664,32.467263143339075,44.06734950925468,41.54193124299,25.0081013204647,24.183842023315236,29.722729617922703,28.47694931773474
EAST GARFIELD PARK,97.719499206543,95.1269779205322,33.7407989501953,31.9987579345703,39.3596374511719,37.4850708007813,25.3486328125,24.4140625,29.9181015014648,28.4341487884521
SOUTH LAWNDALE,96.75646262773726,94.06509351120822,34.01870687854209,32.25847640098491,41.53864762297776,39.30793196679103,25.159803362370948,24.250265025811217,29.79523074179152,28.365089014216483
AVALON PARK,95.80374554473306,93.13023195258214,34.25773456447584,32.350033410078346,43.47936974422522,40.77082284456062,24.94104036574487,24.0625,29.69796988345168,28.246563779574
NEAR NORTH SIDE,99.94772446939876,97.35579712925484,27.8694868309408,26.66337220774148,23.833487268126397,23.518296689097475,22.83720974836334,22.485647248363342,26.156761095917915,25.543805493075435
JEFFERSON PARK,99.43680703667596,97.17788483921626,32.931545815780844,30.851415580396,35.6387689966033,34.062038883371315,25.743887529409992,24.637182522924714,29.94361354595905,28.568483138636715
CLEARING,97.78184945513526,94.62974274169048,33.99575557624118,32.2612713669081,41.98888403038702,39.84680040659054,25.23335077917036,24.34522654170364,29.908441084258374,28.46789974053557
FULLER PARK,95.4600563049316,92.9464492797852,34.2424224853516,32.338525390625,43.8531127929688,41.3649230957031,25.0,24.12109375,29.6385494232178,28.340838432312
LOGAN SQUARE,96.42165294244424,93.89296622068989,33.718799341806005,31.60969910236621,42.011360998686825,39.48022592200999,24.740466081133544,23.850407002135093,29.327259160391264,27.79212699558424
HERMOSA,95.8967399597168,93.1029396057129,34.1771362304688,32.1421829223633,43.872640991211,41.2846542358399,25.0,24.0478515625,29.6352199554443,28.205472946167
NORTH LAWNDALE,97.374305327911,94.75061965321694,33.83704415859457,32.08759040086629,40.106703725207474,38.10558248178924,25.28194661912971,24.356491685579613,29.87520580997677,28.40665272760653
BELMONT CRAGIN,98.31758256824418,95.66952445543184,33.577481909019134,31.669260180252184,38.94673294708807,37.107991780953874,25.311501096922367,24.404128622524663,29.783775424493644,28.442964530925156
ALBANY PARK,96.14644329809896,93.48967566313564,34.144353506879256,32.013407557938585,43.622781205307625,40.95643264316547,24.982156833447178,23.992419633709016,29.608540420207948,28.099961885337628
HUMBOLDT PARK,96.69349003361536,94.02667099697696,34.007178581544544,32.07055206590955,41.94957493220311,39.63806343881968,25.13366629108169,24.19078366803606,29.752127623421067,28.26968730325216
GAGE PARK,95.67425064949876,92.90457794365967,34.29924581101134,32.515601393986536,43.83951089657975,41.24389408376344,24.9680912596401,24.09630061053985,29.676324716876877,28.317954549323623
LINCOLN PARK,99.85503289994614,97.26919462060178,28.03472420704651,26.802395823059488,24.33126893565805,23.950012441447896,22.884465571657174,22.517975417852064,26.24001622586633,25.59873327252538
MORGAN PARK,98.21852098140089,95.8488110251479,33.58231362458119,31.880579925893443,38.1737436608954,36.41409047986124,25.36354785961109,24.460271479009272,29.840848715488708,28.561335643896687
FOREST GLEN,98.6515870317271,96.33890903096804,33.18411595411706,31.093508408774795,37.49127776669789,35.66879922302682,25.56779510068221,24.451364436619723,29.8550227468786,28.451164040766965
LAKE VIEW,96.61766792707544,94.3635032202608,33.56886223905831,31.42765402024793,41.42387692031043,38.9209943217616,24.66883820564517,23.805191532258068,29.24997176754858,27.661106098339125
WASHINGTON HEIGHTS,98.1945373535156,95.8529243469238,33.5338195800782,31.7735305786133,37.4455810546875,35.5048156738281,25.345703125,24.4140625,29.8173442840576,28.5415754318237
EDISON PARK,99.31301900669254,97.44992675742756,33.00135811845184,30.88243735243168,35.876007908456415,34.37732673591133,25.553737544147324,24.415067640010093,29.846593101570758,28.435679370291208
CALUMET HEIGHTS,95.84772479306363,93.31485259791091,34.27388307413485,32.372712104943204,43.51466008666222,40.82736247360327,24.919872113853504,24.0625,29.68045012310049,28.27673680736759
GARFIELD RIDGE,97.7321955707174,94.61664615908178,33.99707125968185,32.265737553915805,41.96802820324808,39.834826305985466,25.232798261190023,24.33970136190028,29.897933062776005,28.475787690100532
GREATER GRAND CROSSING,95.79283510560796,93.26176369547962,34.17787904053132,32.28688086195508,43.16294312429417,40.68095828484395,25.02078669530494,24.13684353823814,29.66809580662284,28.340220498438605
OHARE,98.693660533645,96.21637180100744,33.540443006233794,31.65925016528311,39.53610362695022,37.74717628843847,25.25412181284384,24.33916763647903,29.678234420304936,28.40555469474193
SOUTH CHICAGO,95.9094665067742,93.5740383607796,34.29655369034741,32.40455033635524,43.56420359416182,40.90673749073441,24.890154367469883,24.0625,29.655854431519987,28.319096204458944
DUNNING,99.54785854347664,97.2537159823248,33.06748713542606,31.05306554556397,36.42525392542146,34.769571229317734,25.557003407203258,24.549725347327094,29.883717525347382,28.538297828321767
ARMOUR SQUARE,95.90497685248542,93.123085039079,34.34787294533219,32.417761151779914,43.22962594481329,40.46578458948523,24.891811764293724,23.95393405794563,29.656572382118643,27.95848030145926
MCKINLEY PARK,95.6115348815918,92.8287048339844,34.3285308837891,32.5412231445313,43.9216796875,41.2742935180664,24.94140625,24.0625,29.6561542510986,28.2662410736084
ROGERS PARK,97.39079315082448,94.69299623128532,34.28138343192435,31.854308958311368,43.053971574113184,40.11696849513704,24.779719172297305,23.825997017525346,29.496955350927376,27.775178915745474
WEST GARFIELD PARK,97.719499206543,95.1269779205322,33.7407989501953,31.9987579345703,39.3596374511719,37.4850708007813,25.3486328125,24.4140625,29.9181015014648,28.4341487884521
NEW CITY,95.59922702619188,92.83827174202516,34.321534450761725,32.5247536562382,43.91610852726259,41.281657303501305,24.946167077690884,24.06726082769088,29.654723833143308,28.27230221785983
BRIGHTON PARK,95.74445680872807,92.95877459100286,34.30319712480174,32.52185163733599,43.75230686495685,41.1498075218138,24.96360937178233,24.080695917421743,29.668681122404323,28.286373451082085
BEVERLY,98.44560536187387,96.07834033118056,33.547300340091226,31.83691880543132,37.86778814602505,36.18544724006088,25.402974690697786,24.49632169498721,29.8507803342842,28.57472072223079
OAKLAND,95.6406669616699,93.02236316822196,34.284040549949374,32.36653091995804,43.59336751302087,40.99482681839555,24.95659722222222,24.053276909722225,29.6455941800718,28.184308687845853
NEAR SOUTH SIDE,97.17093847859964,94.4374320797804,32.37356539960083,30.657624679780877,37.24686584080906,35.2149354770646,24.25625802310655,23.49268706374358,28.586329705234643,27.191029357665307
DOUGLAS,95.9109261807528,93.13595795037374,34.34631630842932,32.40843737566911,43.2046941213897,40.441028207078965,24.89165088383838,23.951798255997478,29.65613569805514,27.95008327021741
